study_id,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,n_codes,codes
1,0,1,0,0,0,0,0,0,0,0,1,M2
2,0,0,1,0,0,0,1,0,0,0,2,M3; M7
3,1,0,1,0,0,0,0,0,0,0,2,M1; M3
4,0,1,0,0,0,0,0,0,0,0,1,M2
5,0,0,0,0,0,1,0,0,0,0,1,M6
6,0,0,1,0,0,0,0,0,0,0,1,M3
7,0,0,1,0,0,0,0,0,0,0,1,M3
8,1,0,0,0,0,0,0,0,0,0,1,M1
9,0,0,1,0,0,0,0,0,0,0,1,M3
10,0,0,0,0,1,1,0,0,0,0,2,M5; M6
11,1,0,1,0,0,0,0,0,0,0,2,M1; M3
12,0,1,0,0,0,0,0,0,0,0,1,M2
13,0,0,1,0,0,0,0,0,0,0,1,M3
14,0,0,1,0,0,0,0,0,0,0,1,M3
15,0,0,0,1,0,0,0,0,0,0,1,M4
16,0,0,1,0,0,0,0,0,0,0,1,M3
17,0,0,0,0,0,1,0,0,1,0,2,M6; M9
18,0,0,1,0,1,0,0,0,0,0,2,M3; M5
19,0,0,0,0,0,1,0,0,1,0,2,M6; M9
20,0,0,1,0,0,0,0,0,1,0,2,M3; M9
21,0,0,1,0,0,1,0,0,0,0,2,M3; M6
22,0,0,1,0,1,1,0,0,0,0,3,M3; M5; M6
23,0,0,1,0,0,1,0,0,1,0,3,M3; M6; M9
24,0,0,0,0,0,0,0,0,0,1,1,M10
25,1,0,0,0,0,0,0,0,0,0,1,M1
26,0,0,1,0,0,0,0,0,0,0,1,M3
28,0,0,1,0,0,0,0,0,0,0,1,M3
29,0,0,1,0,0,0,0,0,0,0,1,M3
30,0,0,0,0,1,0,0,0,0,0,1,M5
31,0,0,0,0,0,1,0,0,0,0,1,M6
32,0,0,1,0,0,0,0,0,0,0,1,M3
33,0,0,0,0,0,1,0,0,1,0,2,M6; M9
34,0,0,1,0,0,0,0,0,0,0,1,M3
35,0,0,1,0,0,0,0,0,0,0,1,M3
36,1,0,0,0,0,0,0,0,0,0,1,M1
37,0,0,0,0,1,0,0,0,0,0,1,M5
38,0,0,1,0,0,0,0,0,0,0,1,M3
39,0,0,0,0,0,1,0,0,0,0,1,M6
40,0,1,1,0,0,0,0,0,0,0,2,M2; M3
41,0,0,1,0,0,0,0,0,1,0,2,M3; M9
42,1,0,0,0,0,1,0,0,0,0,2,M1; M6
43,0,0,1,0,0,0,1,0,0,0,2,M3; M7
44,1,0,0,0,0,0,0,0,0,0,1,M1
45,0,0,1,0,0,0,0,1,0,0,2,M3; M8
46,0,0,1,0,0,0,0,0,1,0,2,M3; M9
47,0,0,1,0,0,0,0,0,0,0,1,M3
48,0,0,1,0,0,0,0,0,1,0,2,M3; M9
49,0,0,1,0,1,0,0,0,0,0,2,M3; M5
50,0,0,1,0,0,0,0,0,0,0,1,M3
51,0,0,1,0,0,0,0,0,0,0,1,M3
52,0,0,0,0,0,0,1,0,0,0,1,M7
53,0,0,1,0,0,0,1,0,0,0,2,M3; M7
54,0,0,1,0,0,0,0,0,0,0,1,M3
55,0,0,1,0,0,0,0,0,1,0,2,M3; M9
56,0,0,1,0,0,0,0,0,0,0,1,M3
57,1,0,1,0,0,0,0,0,0,0,2,M1; M3
58,0,0,0,0,0,1,0,0,0,0,1,M6
59,0,0,1,0,0,1,0,0,0,0,2,M3; M6
60,0,0,0,0,0,0,1,0,0,0,1,M7
61,0,0,1,0,0,1,1,0,0,0,3,M3; M6; M7
62,1,0,0,0,0,0,0,0,0,0,1,M1
63,1,0,0,0,0,0,0,0,0,0,1,M1
64,0,0,1,0,0,1,0,0,0,0,2,M3; M6
65,0,0,1,0,0,0,0,0,0,0,1,M3
66,0,0,1,0,0,0,1,0,0,0,2,M3; M7
67,0,0,1,0,0,0,1,0,0,0,2,M3; M7
